编号,公司名,店铺类型,对话,旺旺号,店名,电话1,电话2,电话3,商家地址,月销量,地区,关键词,好评率,描述,描述同比,服务,服务同比,物流,物流同比,好评数,中评数,差评数,月销,月支出佣金,月推广量,商品价格,佣金率,佣金,优惠券信息
5339,深圳市海明视电子商务有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao海明视数码专营店"，"点我对话"),海明视数码专营店,海明视数码专营店,,13728770510,,https://shop70126476.taobao.com/,439388,广东 深圳,,,4.88832分,14.48%,4.87378分,5.57%,4.8773分,3.53%,,,,,,,,,,
5340,深圳市博纳坞数码摄影器材有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao博纳坞数码专营店"，"点我对话"),博纳坞数码专营店,博纳坞数码专营店,,13798449091,,https://shop68719081.taobao.com/,66339,广东 深圳,,,4.93344分,49.05%,4.92823分,46.32%,4.91829分,35.77%,,,,,,,,,,
5341,徐州征途网络科技有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao征途数码配件专营店"，"点我对话"),征途数码配件专营店,征途数码配件专营店,18118316981,18952208719,,https://shop116790606.taobao.com/,348412,徐州市,,,4.93757分,52.19%,4.93128分,48.59%,4.9241分,40.33%,,,,,,,,,,
5342,北京德康威商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaozhiyun德康威专卖店"，"点我对话"),zhiyun德康威专卖店,zhiyun德康威专卖店,,13522703151,,https://shop188086447.taobao.com/,6826,,,,4.98337分,87.27%,4.98434分,88.29%,4.98337分,86.93%,,,,,,,,,,
5343,泰州市万红电子科技有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao飞利浦万红专卖店"，"点我对话"),飞利浦万红专卖店,飞利浦万红专卖店,17051210988,,,https://shop203726771.taobao.com/,913880,上海,,,4.94361分,56.82%,4.94095分,55.82%,4.92901分,44.19%,,,,,,,,,,
5344,珠海市连盛电子科技有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao绘威旗舰店"，"点我对话"),绘威旗舰店,绘威旗舰店,,18928078525,,https://shop62733917.taobao.com/,1085873,广东 珠海,,,4.92922分,45.82%,4.91784分,38.55%,4.91211分,30.91%,,,,,,,,,,
5345,广州市嘉蕊贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao嘉蕊数码旗舰店"，"点我对话"),嘉蕊数码旗舰店,嘉蕊数码旗舰店,18026211401,,,https://shop64355268.taobao.com/,9577,广东 广州,,,4.97073分,77.59%,4.96585分,74.46%,4.97561分,80.83%,,,,,,,,,,
5346,深圳市声图科技有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao声图数码专营店"，"点我对话"),声图数码专营店,声图数码专营店,13798571751,13798571751,,https://shop103088218.taobao.com/,5141,广东省 深圳市,,,4.89623分,20.57%,4.90566分,29.44%,4.90566分,25.84%,,,,,,,,,,
5347,北京华奇天地商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao华奇天地数码专营店"，"点我对话"),华奇天地数码专营店,华奇天地数码专营店,,13146161301,,https://shop126941861.taobao.com/,3052,北京,,,4.9分,23.45%,4.87143分,3.84%,4.92857分,43.85%,,,,,,,,,,
5348,广州索楷商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao索楷数码专营店"，"点我对话"),索楷数码专营店,索楷数码专营店,,13500026503,,https://shop69219867.taobao.com/,134666,广东 广州,,,4.94919分,61.11%,4.94424分,58.29%,4.95539分,64.93%,,,,,,,,,,
5349,北京睿舞科技有限责任公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao睿舞数码专营店"，"点我对话"),睿舞数码专营店,睿舞数码专营店,13683296694,,,https://shop111704279.taobao.com/,1948,北京,,,4.97348分,79.69%,4.9697分,77.33%,4.96212分,70.22%,,,,,,,,,,
5350,深圳市华阳信诺数码有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao华阳信诺数码专营店"，"点我对话"),华阳信诺数码专营店,华阳信诺数码专营店,18565570329,,,https://shop111718397.taobao.com/,82028,广东省 广州市,,,4.95404分,64.81%,4.96188分,71.48%,4.94619分,57.69%,,,,,,,,,,
5351,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaochivapig"，"点我对话"),chivapig,海四联合工艺材料批发,,13711118487,,https://shop68070239.taobao.com/,559,广东省广州市,,,4.77778分,-1.61%,4.74074分,-2.80%,4.75926分,-2.45%,,,,,,,,,,
5352,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao352148996tu"，"点我对话"),352148996tu,广州双杰汽车用品,13922735928,,,https://shop65067362.taobao.com,13,广东省广州市,,99%,4.64286分,-4.03%,4.64286分,-4.37%,4.57143分,-5.89%,,,,,,,,,,
5353,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaohxykl"，"点我对话"),hxykl,深圳市铭宏翔电子科技,13798576516,13632699756,,https://shop57039232.taobao.com,23580,广东省深圳市,,,4.89474分,0.39%,4.92105分,0.10%,4.92105分,0.10%,,,,,,,,,,
5354,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoqinghuashi99"，"点我对话"),qinghuashi99,华晨制刀,,13162992199,,https://shop63180343.taobao.com,1509,上海市,,,5.0分,100.00%,5.0分,100.00%,4.8125分,-2.20%,,,,,,,,,,
5355,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoglb0508"，"点我对话"),glb0508,广东新飞电器,,13825589993,,https://shop107853431.taobao.com,0,广东省佛山市,,98.5%,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
5356,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao丹丹19890412"，"点我对话"),丹丹19890412,为客响模具,,15506297593,,https://shop107769042.taobao.com,11,江苏省苏州市,,100%,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
5357,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoyuliuying88"，"点我对话"),yuliuying88,好友多麻将机及配件批,,13205710006,,https://shop36909484.taobao.com,4791,浙江省杭州市,,99.4%,4.77481分,-1.47%,4.75分,-2.41%,4.78053分,-1.82%,,,,,,,,,,
5358,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao白宝屋"，"点我对话"),白宝屋,回力时曼特卖店,18010781941,18226709685,,https://shop58503617.taobao.com,1,安徽省芜湖市,,,,,,,,,,,,,,,,,,
5359,苏州市峬峭服饰有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao麦阁雪旗舰店"，"点我对话"),麦阁雪旗舰店,麦阁雪旗舰店,,18061847211,,https://shop244812281.taobao.com/,19613,江苏 苏州,,,4.96708分,75.58%,4.97531分,82.81%,4.98354分,87.74%,,,,,,,,,,
5360,苏州港陌贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao古妮莉旗舰店"，"点我对话"),古妮莉旗舰店,古妮莉旗舰店,18158606895,,,https://shop275265997.taobao.com/,23007,浙江省台州市,,,4.92285分,42.72%,4.9018分,31.57%,4.90782分,31.29%,,,,,,,,,,
5361,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao锐和红木古典家具馆"，"点我对话"),锐和红木古典家具馆,锐和红木古典家具厂,,13426887271,,https://shop107791230.taobao.com,0,广东省江门市,,99.2%,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
5362,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoyqrabbit09"，"点我对话"),yqrabbit09,Lizcst Software Lab,13077980112,13077980112,,https://shop102247714.taobao.com,46,江西省南昌市,,99.8%,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
5363,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao乐古户外3"，"点我对话"),乐古户外3,乐古雨披工厂,,18030292840,,https://shop106667938.taobao.com,62,福建省厦门市,,98.5%,4.90991分,41.46%,4.9009分,25.33%,4.90991分,31.10%,,,,,,,,,,
5364,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaovivinest"，"点我对话"),vivinest,萝莉的诱惑,,15652267301,,https://shop71689035.taobao.com,181,北京市,,99%,4.9726分,84.02%,4.9726分,80.13%,4.9589分,68.88%,,,,,,,,,,
5365,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao段恋宝贝_2008"，"点我对话"),段恋宝贝_2008,美容院矫形内衣专家,,18653143258,,https://shop36538012.taobao.com,172,山东省济南市,,,4.85897分,17.81%,4.87821分,11.74%,4.87821分,7.85%,,,,,,,,,,
5366,,五心,=HYPERLINK("aliim:sendmsg?&touid=cntaobao最爱的那一片星空"，"点我对话"),最爱的那一片星空,美绘生活,13422121322,13422122230,,https://shop155747400.taobao.com,11,广东省广州市,,97.8%,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
5367,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao马丁叔叔哦"，"点我对话"),马丁叔叔哦,阳光澳洲生活馆,,13823814441,,https://shop36287692.taobao.com,25,广东省梅州市,,,4.92308,54.72%,4.92308,45.79%,4.92308分,42.33%,,,,,,,,,,
5368,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao粤宝汽车用品批发"，"点我对话"),粤宝汽车用品批发,奥卡蒂车品,,15920969296,,https://shop102029674.taobao.com,0,广东省广州市,,96.8%,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
5369,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao品盛小店"，"点我对话"),品盛小店,金生源养生馆,,17737161199,,https://shop72196508.taobao.com,2402,河南省郑州市,,99.2%,4.785分,-0.71%,4.81493分,-0.57%,4.82539分,0.47%,,,,,,,,,,
5370,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao美迪雅设计"，"点我对话"),美迪雅设计,迪芙兰展架工厂定制,,18819076708,,https://shop121847833.taobao.com,6,广东省深圳市,,99.3%,4.5分,-8.42%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
5371,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao水晶仙子日化"，"点我对话"),水晶仙子日化,水晶仙子手工皂工厂,,13606898827,,https://shop102694136.taobao.com,266,浙江省金华市,,98.5%,4.86047分,8.03%,4.86047分,0.29%,4.95349分,61.77%,,,,,,,,,,
5372,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaosos520as"，"点我对话"),sos520as,冀武玻璃仪器仪表厂,13473819300,,,https://shop115076446.taobao.com,3,河北省衡水市,,100%,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
5373,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao王晓旭945"，"点我对话"),王晓旭945,优质发品美业,,13868581007,,https://shop67346206.taobao.com,4,浙江省温州市,,98.7%,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
5374,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao恩美雅电吹风机"，"点我对话"),恩美雅电吹风机,恩美雅电吹风机,,18925264488,,https://shop113526291.taobao.com,26,广东省深圳市,,99.2%,4.94872分,66.20%,4.94872分,59.15%,4.92308分,36.77%,,,,,,,,,,
5375,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao淘岛特产商城"，"点我对话"),淘岛特产商城,淘岛特产商城,13976777771,13266699996,,https://taodaosc.taobao.com,1,广东省深圳市,,97.6%,5.0,100.00%,5.0,100.00%,5.0分,100.00%,,,,,,,,,,
5376,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao蓝色之恋cn"，"点我对话"),蓝色之恋cn,欣欣美妆品牌折扣店,,13323953210,,https://shop60685146.taobao.com,1,河南省漯河市,,98.3%,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
5377,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaohfxhly"，"点我对话"),hfxhly,香涵舍护肤品平价店,,13485739116,,https://shop59089210.taobao.com,168,安徽省合肥市,,99.1%,4.85093分,1.74%,4.85714分,0.36%,4.86957分,0.18%,,,,,,,,,,
5378,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao义乌韩国饰品批发"，"点我对话"),义乌韩国饰品批发,水晶仙子总店,,13606898827,,https://shop36298988.taobao.com,45,浙江省金华市,,99.2%,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
5379,,一钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoarocolor馥色"，"点我对话"),arocolor馥色,AROCOLOR馥色家居,,15021728095,,https://shop423936485.taobao.com,1,上海市,,100%,4.81818,-0.85%,4.81818,-1.17%,4.81818分,-1.26%,,,,,,,,,,
5380,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaocool1216"，"点我对话"),cool1216,车心意工厂店,,13321175553,,https://shop57052037.taobao.com,0,北京市,,98.1%,,,,,,,,,,,,,,,,
5381,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao爱尚乐购99"，"点我对话"),爱尚乐购99,品味生活家居护理馆,13706785636,,,https://shop100756973.taobao.com,107,浙江省温州市,,99.7%,4.91667分,53.86%,4.92029分,49.41%,4.93841分,59.51%,,,,,,,,,,
5382,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao玻璃瓶天天168"，"点我对话"),玻璃瓶天天168,彬芬玻璃制品,,15852455717,,https://shop72620291.taobao.com,1190,江苏省徐州市,,99.1%,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
5383,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao彬彬美容美发"，"点我对话"),彬彬美容美发,彬彬美容美发店,,13456764399,,https://shop100657962.taobao.com,1,浙江省杭州市,,98.6%,4.75分,-2.03%,4.75分,-2.55%,4.75分,-2.63%,,,,,,,,,,
5384,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao成名坊"，"点我对话"),成名坊,一炮到天亮情趣店,,13724145803,,https://shop100940060.taobao.com,21,广东省广州市,,,4.96分,71.01%,4.96分,66.20%,4.96分,65.11%,,,,,,,,,,
5385,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao剑侠客1102"，"点我对话"),剑侠客1102,畜牧蚊香直营店,15518970871,,,https://shop115052619.taobao.com,438,河南省南阳市,,,4.86982分,14.19%,4.87574分,1.02%,4.89941分,17.31%,,,,,,,,,,
5386,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao天使乐园"，"点我对话"),天使乐园,香草天空芳疗教室,18321780116,,,https://shop33280199.taobao.com,109,上海市,,99.6%,4.6分,-5.12%,4.6分,-5.63%,4.6分,-5.71%,,,,,,,,,,
5387,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao卿江南"，"点我对话"),卿江南,香贝雅香氛,13063929295,18961408278,,https://shop58113965.taobao.com,235,江苏省常州市,,99.9%,4.9974分,98.15%,4.9974分,97.92%,4.99481分,95.69%,,,,,,,,,,
5388,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoyeya6973"，"点我对话"),yeya6973,日品客家居生活馆,18001610329,,,https://shop34612175.taobao.com,12,上海市,,99.4%,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
5389,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao达达sdxj2007"，"点我对话"),达达sdxj2007,吾尚优品 老皂馆,,15305448451,,https://shop63869168.taobao.com,0,山东省德州市,,,5.0,100.00%,5.0,100.00%,5.0分,100.00%,,,,,,,,,,
5390,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoyidizhan2011"，"点我对话"),yidizhan2011,东莞市一滴粘实业有限,,18929230533,,https://shop67611637.taobao.com,6136,广东省东莞市,,99.3%,4.94,57.32%,4.94,51.95%,4.84分,-0.81%,,,,,,,,,,
5391,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao微笑pass七彩吧"，"点我对话"),微笑pass七彩吧,美欧饰品TOP高端潮饰,,15818354588,,https://shop36294870.taobao.com,10,广东省东莞市,,97.6%,4.94737分,62.71%,5.0分,100.00%,4.94737分,52.41%,,,,,,,,,,
5392,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao红柳花絮纷飞"，"点我对话"),红柳花絮纷飞,花子日本代购驿站,,18670030164,,https://shop70448890.taobao.com,4,湖南省长沙市,,,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
5393,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao巧恩茉莉龙井"，"点我对话"),巧恩茉莉龙井,巧恩茉莉花,,18977123096,,https://shop104159546.taobao.com,1,广西省南宁市,,99.5%,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
5394,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaolijuan13643866511"，"点我对话"),lijuan13643866511,易美美妆,,15515871730,,https://shop58213020.taobao.com,71,河南省郑州市,,99.3%,4.75,-2.03%,4.83333,-0.84%,4.75分,-2.63%,,,,,,,,,,
5395,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaohjayx2006"，"点我对话"),hjayx2006,APPLE美妆 只售正品,,18628226889,,https://shop58390831.taobao.com,7927,四川省成都市,,99.9%,4.92834分,52.77%,4.9316分,45.52%,4.9316分,43.77%,,,,,,,,,,
5396,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoxql2000"，"点我对话"),xql2000,艾健坊艾灸养生,18934302908,,13697495321,https://shop33967371.taobao.com,192,广东省佛山市,,,4.90551分,37.72%,4.92651分,41.46%,4.92651分,39.59%,,,,,,,,,,
5397,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoqimimic"，"点我对话"),qimimic,七米米精品商城,,18913973292,,https://shop63196503.taobao.com,14,江苏省南京市,,99.1%,4.83333分,-1.64%,4.88889分,-0.68%,4.88889分,-0.65%,,,,,,,,,,
5398,,五冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao梦想高飞1985"，"点我对话"),梦想高飞1985,YAGO,18960008226,,,https://shop69393704.taobao.com,222,福建省漳州市,,99.4%,4.88341分,23.15%,4.92377分,39.28%,4.93722分,48.39%,,,,,,,,,,
5399,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoavshop888"，"点我对话"),avshop888,动感宝贝营养保健,,13641856360,,https://shop33498419.taobao.com,187,上海市,,99.8%,4.92698,61.80%,4.94286,65.18%,4.93949分,61.68%,,,,,,,,,,
5400,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao瑞士直通车"，"点我对话"),瑞士直通车,瑞士直通车,,13588778873,,https://shop60781167.taobao.com,332,浙江省杭州市,,,4.93864,59.55%,4.93636,49.31%,4.94318分,53.29%,,,,,,,,,,
5401,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao风景行商贸公司"，"点我对话"),风景行商贸公司,香港进口仪肤,,13714759129,,https://henlands.taobao.com,1333,广东省深圳市,,,4.93464,56.92%,4.95229,61.98%,4.95389分,62.08%,,,,,,,,,,
5402,,一冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao澳康国际"，"点我对话"),澳康国际,非常迷尚香铺,18689295534,15118799451,,https://shop70917227.taobao.com,1030,广东省佛山市,,99.2%,4.81818分,-0.84%,4.86364分,0.42%,4.95455分,58.91%,,,,,,,,,,
5403,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao郑财君"，"点我对话"),郑财君,盛凯汽车用品,,15218228649,,https://shop104854131.taobao.com,0,广东省湛江市,,98.4%,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
5404,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao别生气我乖乖的"，"点我对话"),别生气我乖乖的,洋葱美发用品批发,,15906827330,,https://shop101957934.taobao.com,47,浙江省湖州市,,98.7%,4.7551分,-1.92%,4.81633分,-1.19%,4.83673分,-0.85%,,,,,,,,,,
5405,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao翼空best"，"点我对话"),翼空best,纯棉元素,,18826471875,,https://shop63048036.taobao.com,1640,广东省广州市,,99.2%,4.82263分,-0.53%,4.84916分,-0.52%,4.86313分,0.31%,,,,,,,,,,
5406,,三钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao东莞盛发包装机械有限公司"，"点我对话"),东莞盛发包装机械有限公司,盛发机械,,18027041987,,https://shop103172719.taobao.com,0,广东省东莞市,,97.8%,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
5407,,三冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao醇香韵"，"点我对话"),醇香韵,有间沉香馆,,18606037505,,https://cxy678.taobao.com,228,福建省泉州市,,,4.91933,6.53%,4.9475,32.38%,4.93854分,22.21%,,,,,,,,,,
5408,,四冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao河马河童河豚"，"点我对话"),河马河童河豚,金道妈妈de精油小物,,18660280909,,https://feizhouyinxiang.taobao.com,8148,山东省青岛市,,,4.91857,46.33%,4.93567,48.74%,4.92834分,41.07%,,,,,,,,,,
5409,,五心,=HYPERLINK("aliim:sendmsg?&touid=cntaobao左岸有爱2009"，"点我对话"),左岸有爱2009,有情人性用品店,,18777886249,,https://shop69382763.taobao.com,0,广西省河池市,,97.9%,,,,,,,,,,,,,,,,
5410,,二金,=HYPERLINK("aliim:sendmsg?&touid=cntaobao雅居精致生活馆"，"点我对话"),雅居精致生活馆,雅居精致生活馆,13961088123,13961088123,,https://yaju001.taobao.com,19423,江苏省泰州市,,97.5%,4.78931,-0.62%,4.82376,0.39%,4.82772分,0.42%,,,,,,,,,,
5411,,一金,=HYPERLINK("aliim:sendmsg?&touid=cntaobaovisongao"，"点我对话"),visongao,红萍果美容院用品优选,,15920409040,,https://shop57069852.taobao.com,20737,广东省广州市,,,4.83615分,0.25%,4.84834分,-0.54%,4.85538分,0.47%,,,,,,,,,,
5412,深圳奥粤港实业有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao岚袖旗舰店"，"点我对话"),岚袖旗舰店,岚袖旗舰店,,18902478959,,https://shop155595909.taobao.com/,200049,山东 青岛,,,4.89627分,21.59%,4.9087分,37.27%,4.91149分,36.32%,,,,,,,,,,
5413,江苏同天科教设备有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao同天办公专营店"，"点我对话"),同天办公专营店,同天办公专营店,,13801442036,,https://shop114986544.taobao.com/,58660,江苏 泰州,,,4.91774分,37.03%,4.90231分,26.93%,4.90746分,27.26%,,,,,,,,,,
5414,北京故梦商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao柑气楼旗舰店"，"点我对话"),柑气楼旗舰店,柑气楼旗舰店,,13701098514,,https://shop230599781.taobao.com/,27934,安徽 合肥,,,4.91226分,25.52%,4.91466分,36.55%,4.92067分,38.62%,,,,,,,,,,
5415,滨州泓百商贸有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao修正泓百专卖店"，"点我对话"),修正泓百专卖店,修正泓百专卖店,,15174800000,,https://shop322206398.taobao.com/,77553,内蒙古自治区赤峰市,,,4.90142分,16.32%,4.88832分,16.97%,4.89231分,16.67%,,,,,,,,,,
5416,永康市艾乐尔贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao美柏莱艾乐尔专卖"，"点我对话"),美柏莱艾乐尔专卖,美柏莱艾乐尔专卖,,15858956913,,https://shop409612219.taobao.com/,52023,,,,4.97046分,77.39%,4.95882分,69.20%,4.96598分,73.26%,,,,,,,,,,
5417,宿迁市书艺电子商务有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao书艺保健品专营店"，"点我对话"),书艺保健品专营店,书艺保健品专营店,,15751526662,,https://shop166061767.taobao.com/,113254,江苏省宿迁市,,,4.98376分,85.38%,4.98298分,83.72%,4.98407分,84.05%,,,,,,,,,,
5418,广东凸凹科技有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao凸凹保健品专营店"，"点我对话"),凸凹保健品专营店,凸凹保健品专营店,18319901768,13923741979,,https://shop302347215.taobao.com/,117620,广东省深圳市,,,4.96302分,76.05%,4.95763分,72.45%,4.96148分,74.25%,,,,,,,,,,
5419,深圳市兴旺鸿贸易有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao兴旺鸿汽车用品专营店"，"点我对话"),兴旺鸿汽车用品专营店,兴旺鸿汽车用品专营店,,13662594245,,https://shop229909664.taobao.com/,65874,广东省深圳市,,,4.92429分,36.92%,4.87066分,0%,4.87697分,0%,,,,,,,,,,
5420,苏州市梦宝露化妆品有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobaob化妆品旗舰店"，"点我对话"),b化妆品旗舰店,b化妆品旗舰店,,18796812953,,https://shop112601673.taobao.com/,64380,江苏省 苏州市,,,4.89428分,10.17%,4.87907分,10.02%,4.87545分,3.55%,,,,,,,,,,
5421,黄山云曼电子商务有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao云曼成人用品专营"，"点我对话"),云曼成人用品专营,云曼成人用品专营,,13855977884,,https://shop417896870.taobao.com/,226987,上海,,,4.87914分,0%,4.86125分,0.70%,4.86492分,0.72%,,,,,,,,,,
5422,惠州市莱歌科技有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao莱歌旗舰店"，"点我对话"),莱歌旗舰店,莱歌旗舰店,,13802473023,,https://shop227920201.taobao.com/,29665,,,,4.95111分,63.05%,4.95407分,68.44%,4.95259分,65.89%,,,,,,,,,,
5423,常州大悦网络科技有限公司,天猫,=HYPERLINK("aliim:sendmsg?&touid=cntaobao嘉媚乐大悦专卖店"，"点我对话"),嘉媚乐大悦专卖店,嘉媚乐大悦专卖店,,15995023156,,https://shop156499524.taobao.com/,150451,江苏 常州,,,4.94259分,51.27%,4.91861分,39.49%,4.9265分,43.13%,,,,,,,,,,
5424,,五心,=HYPERLINK("aliim:sendmsg?&touid=cntaobaojiadingyi2009"，"点我对话"),jiadingyi2009,瑶瑶美妆1号,15012461599,13632671247,,https://shop111805636.taobao.com,0,广东省深圳市,,98.9%,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
5425,,四钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobao黄晓平86"，"点我对话"),黄晓平86,钰颜美妆店,,13519846421,,https://shop109395001.taobao.com/,92,海南省海口市,,,4.94944分,66.67%,4.95225分,61.96%,4.95787分,65.37%,,,,,,,,,,
5426,,二钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaopinghu33"，"点我对话"),pinghu33,创意日用照明,,,13456291292,https://shop112543850.taobao.com,33,浙江省嘉兴市,,98.2%,5.0分,100.00%,5.0分,100.00%,5.0分,100.00%,,,,,,,,,,
5427,,二冠,=HYPERLINK("aliim:sendmsg?&touid=cntaobao绿馨手工花"，"点我对话"),绿馨手工花,博饰界品牌店,13418112148,,,https://shop60881666.taobao.com,116,广东省广州市,,,4.77922分,-2.74%,4.79221分,-2.64%,4.83117分,-1.83%,,,,,,,,,,
5428,,五钻,=HYPERLINK("aliim:sendmsg?&touid=cntaobaoqwqw10086"，"点我对话"),qwqw10086,德艺旺型美容美发产品,,15980882545,,https://shop59654975.taobao.com,36,福建省厦门市,,99.1%,4.75分,-2.03%,4.75分,-2.55%,4.75分,-2.63%,,,,,,,,,,
